Country,Variety,AvgPrice,AvgPoints,Tastings
United States,Pinot Noir,45 ,90 ,9885 
United States,Cabernet Sauvignon,55 ,89 ,7315 
United States,Chardonnay,31 ,88 ,6801 
France,Bordeaux-style Red Blend,41 ,89 ,4725 
Italy,Red Blend,40 ,89 ,3624 
United States,Syrah,39 ,89 ,3244 
United States,Red Blend,34 ,88 ,2972 
France,Chardonnay,57 ,89 ,2808 
Italy,Nebbiolo,66 ,90 ,2735 
United States,Zinfandel,29 ,88 ,2711 
Portugal,Portuguese Red,25 ,89 ,2466 
United States,Merlot,29 ,87 ,2311 
Italy,Sangiovese,49 ,89 ,2265 
United States,Sauvignon Blanc,21 ,87 ,2163 
France,Pinot Noir,82 ,90 ,1966 
France,Rosé,19 ,87 ,1923 
United States,Bordeaux-style Red Blend,58 ,90 ,1824 
Germany,Riesling,44 ,90 ,1790 
United States,Riesling,19 ,88 ,1753 
Argentina,Malbec,28 ,88 ,1510 
Spain,Tempranillo,31 ,88 ,1429 
France,Champagne Blend,77 ,90 ,1243 
Austria,Grüner Veltliner,28 ,90 ,1234 
Portugal,Portuguese White,15 ,87 ,1159 
France,Bordeaux-style White Blend,35 ,89 ,1021 
France,Gamay,21 ,88 ,1020 
United States,Cabernet Franc,35 ,88 ,1003 
France,Sauvignon Blanc,27 ,88 ,933 
United States,Rosé,20 ,87 ,907 
United States,Pinot Gris,19 ,88 ,868 
Spain,Red Blend,35 ,88 ,818 
United States,Viognier,25 ,88 ,790 
Italy,White Blend,28 ,88 ,779 
Chile,Cabernet Sauvignon,20 ,87 ,771 
Italy,Sangiovese Grosso,66 ,91 ,750 
United States,Petite Sirah,32 ,88 ,747 
France,Rhône-style Red Blend,33 ,89 ,741 
France,Riesling,32 ,90 ,718 
Italy,Glera,20 ,87 ,709 
United States,Rhône-style Red Blend,37 ,89 ,693 
Chile,Sauvignon Blanc,14 ,86 ,683 
United States,Sparkling Blend,36 ,89 ,678 
United States,White Blend,22 ,87 ,640 
Australia,Shiraz,47 ,90 ,620 
Italy,"Corvina, Rondinella, Molinara",48 ,88 ,619 
Portugal,Port,68 ,90 ,607 
Italy,Pinot Grigio,18 ,87 ,605 
Spain,Tempranillo Blend,36 ,88 ,582 
Austria,Riesling,38 ,91 ,581 
New Zealand,Sauvignon Blanc,19 ,88 ,547 
Argentina,Cabernet Sauvignon,19 ,86 ,540 
United States,Malbec,35 ,88 ,537 
Chile,Carmenère,20 ,86 ,525 
United States,Grenache,35 ,89 ,521 
Chile,Chardonnay,15 ,85 ,516 
New Zealand,Pinot Noir,35 ,88 ,509 
Spain,Sparkling Blend,20 ,87 ,497 
Italy,Barbera,25 ,88 ,479 
France,Gewürztraminer,34 ,89 ,476 
France,Pinot Gris,33 ,90 ,458 
France,Malbec,34 ,90 ,449 
United States,Sangiovese,28 ,87 ,433 
Chile,Red Blend,40 ,89 ,409 
United States,Gewürztraminer,19 ,88 ,406 
Australia,Chardonnay,25 ,87 ,400 
France,Sparkling Blend,23 ,88 ,383 
Chile,Pinot Noir,19 ,86 ,363 
Italy,Nero d'Avola,23 ,87 ,361 
United States,Pinot Grigio,15 ,86 ,360 
Italy,Sparkling Blend,41 ,89 ,348 
United States,Tempranillo,33 ,88 ,345 
Italy,Aglianico,39 ,89 ,344 
Spain,Albariño,21 ,87 ,340 
Italy,Chardonnay,32 ,88 ,334 
Spain,Garnacha,23 ,86 ,313 
France,Red Blend,22 ,88 ,304 
Italy,Sauvignon,27 ,88 ,298 
Spain,White Blend,20 ,86 ,297 
Argentina,Chardonnay,17 ,85 ,295 
Spain,Verdejo,16 ,86 ,290 
France,Melon,17 ,88 ,279 
Chile,Syrah,28 ,88 ,273 
France,Chenin Blanc,28 ,89 ,270 
Italy,Garganega,21 ,88 ,270 
Australia,Cabernet Sauvignon,35 ,89 ,266 
Chile,Merlot,13 ,85 ,258 
France,White Blend,19 ,87 ,255 
United States,Meritage,35 ,88 ,254 
Argentina,Torrontés,14 ,85 ,245 
United States,Barbera,28 ,88 ,238 
Italy,Prosecco,19 ,86 ,235 
Portugal,Rosé,12 ,85 ,235 
Argentina,Red Blend,34 ,88 ,234 
United States,Petit Verdot,39 ,88 ,221 
United States,Rhône-style White Blend,28 ,89 ,217 
Austria,Blaufränkisch,33 ,90 ,214 
United States,Mourvèdre,35 ,89 ,214 
Austria,Zweigelt,21 ,88 ,201 
France,Rhône-style White Blend,38 ,88 ,197 
United States,Pinot Blanc,21 ,88 ,196 
France,Pinot Blanc,20 ,87 ,192 
Italy,Montepulciano,25 ,87 ,192 
Italy,Moscato,21 ,87 ,190 
Portugal,Touriga Nacional,29 ,89 ,181 
South Africa,Chenin Blanc,20 ,88 ,181 
Italy,Pinot Nero,35 ,89 ,180 
South Africa,Sauvignon Blanc,16 ,87 ,179 
Spain,Mencía,28 ,89 ,178 
France,Cabernet Franc,25 ,88 ,173 
South Africa,Chardonnay,23 ,88 ,168 
Spain,Tinta de Toro,45 ,90 ,166 
France,Syrah,56 ,90 ,164 
Italy,Verdicchio,22 ,88 ,164 
Italy,Vermentino,23 ,88 ,158 
Italy,Turbiana,24 ,89 ,157 
Italy,Pinot Bianco,25 ,88 ,154 
Australia,Riesling,22 ,89 ,151 
Italy,Merlot,93 ,89 ,150 
Spain,Rosé,13 ,85 ,150 
United States,Roussanne,27 ,88 ,150 
Italy,Syrah,53 ,89 ,147 
United States,G-S-M,36 ,89 ,147 
Chile,Malbec,19 ,87 ,142 
Italy,Fiano,28 ,88 ,142 
Spain,Monastrell,19 ,87 ,140 
Italy,Vernaccia,19 ,87 ,138 
Italy,Grillo,18 ,87 ,137 
Portugal,Alvarinho,19 ,89 ,136 
Australia,Pinot Noir,32 ,87 ,132 
South Africa,Cabernet Sauvignon,23 ,88 ,132 
Italy,Cabernet Sauvignon,44 ,89 ,131 
United States,Albariño,23 ,88 ,131 
Italy,Dolcetto,20 ,87 ,130 
Austria,Sauvignon Blanc,29 ,90 ,128 
South Africa,Pinotage,24 ,87 ,124 
Italy,Friulano,24 ,88 ,122 
United States,Grenache Blanc,25 ,89 ,122 
United States,Chenin Blanc,20 ,88 ,122 
Italy,Greco,27 ,88 ,120 
Italy,Primitivo,22 ,87 ,118 
Italy,Nerello Mascalese,41 ,90 ,117 
France,Merlot,25 ,87 ,115 
New Zealand,Chardonnay,31 ,89 ,109 
Spain,Viura,15 ,85 ,107 
United States,Moscato,14 ,86 ,106 
Argentina,Bonarda,17 ,87 ,105 
Argentina,Pinot Noir,23 ,86 ,105 
Israel,Cabernet Sauvignon,34 ,89 ,105 
United States,Primitivo,28 ,87 ,104 
Italy,Sagrantino,53 ,90 ,100 
Spain,Tinto Fino,64 ,90 ,100 
United States,Grüner Veltliner,22 ,88 ,100 
Austria,Pinot Noir,37 ,90 ,99 
