Country,Latitude,Longitude,Avg_Price,Avg_Points,Total_Reviews
Argentina,-38.416097,-63.616672,24.51011715,86.71026316,3800
Australia,-25.274398,133.775136,35.43766347,88.58050666,2329
Austria,47.516231,14.550072,30.76277242,90.10134529,3345
Brazil,-14.235004,-51.92528,23.76595745,84.67307692,52
Chile,-35.675147,-71.542969,20.78645833,86.49351521,4471
France,46.227638,2.213749,41.14059072,88.84528336,22092
Italy,41.87194,12.56738,39.66376966,88.56223132,19540
Portugal,39.399872,-8.224454,26.21825641,88.25021965,5691
Spain,40.463667,-3.74922,28.21527461,87.2883371,6645
United States,37.09024,-95.712891,36.57346356,88.56372009,54504
